id,name,birth
697604,"Prince Albert of Monaco",1958
102605,"Östen Braathen",1939
238606,"Ella van Drumpt",1957
1173608,"Gert-Jan van den Ende",1962
187608,"Isolda Cresta",1929
6341608,"Yassine Fennane",1978
608,"Burt Reynolds",1936
1700609,"Philip Adkins",1981
1615610,"Allan Loeb",1969
1411610,"Alexandra Jiménez",1980
17611,"Aysegül Aldinç",1957
85612,"Ken Blackburn",1935
1105613,"Nicole Kortlüke",1976
629615,"John Nichols",1940
615,"John Ritter",1948
2856615,"Marc Recchia",1982
493615,"Joe Layton",1931
6273616,"Floor Jansen",1981
3502617,"Nicholas J. Michalak",1980
619,"Tim Roth",1961
731619,"Terrence Stone",1955
170622,"Jude Cole",1960
1411624,"Kiersten Leigh Johnson",1969
204625,"Gail Davis",1925
626,"John Sayles",1950
1581627,"George Schappell",1961
459627,"Herbert Kline",1909
102629,"F.A. Brabec",1954
1343629,"Nestor Tapia",1982
204629,"Gary Davis",1951
561631,"Ian Maxtone-Graham",1959
595631,"D.W. Moffett",1954
306634,"Jonas Gardell",1963
527635,"Jyrki Luukko",1965
595635,"Gregory Moffett",1943
102639,"Vratislav Brabenec",1943
901640,"Hardi Volmer",1957
2312642,"Thymaya Payne",1978
643,"Tom Skerritt",1933
17644,"Sophie Aldred",1962
493647,"William Layton",1913
374649,"Oliver Heise",1967
3757651,"Alexandra Wesolowski",1985
119653,"José Buil",1953
799654,"Posy Simmonds",1945
221655,"Réjeanne Desrameaux",1904
3162655,"Adolf Zika",1972
918655,"Bob Weis",1947
1564658,"David Pinho Barros",1986
595659,"Peggy Moffitt",1940
659,"Barbra Streisand",1942
1513661,"Paul Bo-Law Chung",1959
1632661,"Ka-hyeon Jang",1977
833664,"Lon Stratton",1954
969667,"Fernando Marés de Souza",1976
667,"David Thewlis",1963
4896668,"Bernardo Argêncio Fernandes",1988
1581670,"Darby Stanchfield",1971
671,"Billy Bob Thornton",1955
2329671,"Florin Penisoara",1979
1700672,"José Miguel Class",1938
4012674,"Damian Vicente",1986
51676,"Dvir Benedek",1969
676,"Chris Tucker",1971
323681,"Justin Gocke",1978
612681,"Christopher Muncke",1942
136682,"Mário Cardoso",1950
1564682,"Sam Hulick",1974
799682,"Anthony Simmons",1922
442684,"Nana Kavtaradze",1951
1513684,"Colleen Clinkenbeard",1980
765685,"Wisit Sasanatieng",1963
85686,"Joan Blackham",1946
688,"Sela Ward",1956
153688,"Ariana Chase",1960
2108688,"Jerome Leroy",1981
2057688,"Clement Darrasse",1976
2074689,"Wilhelm Jensen",1837
102690,"Fabrizio Bracconeri",1964
544691,"Maria del Mar",1964
306692,"Richard Harding Gardner",1949
799693,"Brett Simmons",1982
136693,"Rui Cardoso",1939
442695,"Nikos Kavvadias",1910
695,"Joanne Whalley",1961
1768695,"Mathieu Riboulet",1960
272695,"Milan Ferko",1929
629697,"Rachel Nichols",1980
918698,"John Weisbarth",1976
357698,"George Hamilton IV",1937
1581698,"Dick Swaab",1944
714698,"Lance Reddick",1962
5780699,"Davide Chiara",1978
3060700,"Elisabeth Duda",1979
6103701,"Maximilian Jaenisch",1988
170702,"Michael Cole",1984
816702,"Aljosa Spajic",1973
782703,"Franz Seitz",1887
391704,"Åke Holmberg",1907
4420704,"Kyline Alcantara",2002
704,"Elijah Wood",1981
2346706,"Flip Benham",1948
2227706,"Jacob Drake",1982
272706,"Jodelle Ferland",1994
2040706,"Kevin Randleman",1971
459706,"Heidi Kling",1962
323707,"Agnès Godard",1951
3145707,"Sophie Langford",1990
1343708,"Fernanda Urrejola",1981
709,"Robert Zemeckis",1951
68709,"Ned Bellamy",1957
3298710,"Ancilla Tilia",1985
51710,"Vaitiare Hirshon",1964
629711,"Robert Nichols",1924
1190712,"Julio Pliego",1928
782712,"Jane Seitz",1942
238713,"Mack Dryden",1949
782715,"John Seitz",1937
935716,"Donovan Winter",1933
289716,"David 'Shark' Fralick",1962
717,"Kareem Abdul-Jabbar",1947
476720,"André Kuyten",1937
782723,"Philip Seitz",1945
170724,"Olivia Cole",1942
2635725,"Ashish Kumar Loho",1937
714725,"Mike Redding",1947
459725,"Hans Klinga",1949
7089725,"Ralf Hechelmann",1970
6528727,"Leonardo Siniscalco",1991
102728,"Larissa Bracher",1976
728,"Mario Adorf",1930
374728,"Michael Heit",1943
5610728,"Yui Sakuma",1995
729,"Casey Affleck",1975
3077730,"András Cserna-Szabó",1974
612730,"Jag Mundhra",1948
3179731,"Georgina Baillie",1985
408731,"Jean Marie Ingels",1934
68732,"Bruce Belland",1936
459732,"Mårten Klingberg",1968
833733,"P.A. Straubinger",1970
408733,"Marty Ingels",1936
323734,"Cathy Godbold",1974
102734,"Arturo Brachetti",1957
850735,"James Tartan",1931
816735,"Petra Spalková",1975
629737,"Taylor Nichols",1959
238739,"Robert Dryer",1951
1122740,"Richard Leighton",1945
697740,"Princess Diana",1961
741,"Tim Allen",1953
816742,"Rick Spalla",1967
742,"June Allyson",1917
357745,"Bernie Hamilton",1928
1802746,"Tünde Novák",1963
714746,"Jack N. Reddish",1926
1921747,"Helenna Santos",1980
119751,"Goran Bukilic",1955
751,"Suzy Amis",1962
756,"Loni Anderson",1945
374757,"Jayne Heitmeyer",1960
1717757,"Nadine Samonte",1988
697763,"Albino Principe",1920
493765,"Piotr Lazarkiewicz",1954
170765,"Rupert Cole",1974
1564767,"Tammy Cheung",1958
884770,"Paul Valjean",1935
595771,"Cristina Moglia",1972
1938772,"Damien Labbé",1980
136772,"Carlos Cardán",1932
680773,"Samantha Phillips",1966
323773,"Daniel Goddard",1971
629774,"Arch Nicholson",1941
493775,"Michael Lazarou",1964
3978775,"Josette Audin",1931
5814776,"Corey Deshon",1988
544776,"Virtú Maragno",1928
119777,"Anatoliy Bukovskiy",1925
777,"Gregg Araki",1959
1326778,"Dino Dos Santos",1968
51779,"Saradindu Bandopadhyay",1899
493780,"Ksenija Martinov",1948
680782,"Sean MacLeod Phillips",1955
476782,"Aleksandr Kuzmichyov",1944
1071783,"Maggie Wong",1989
119785,"Bobby Bukowski",1953
748785,"Stuart Rudin",1941
153785,"John Chase",1970
2312785,"Marek Kossakowski",1984
786,"George Armitage",1942
527787,"Maria Pia Luzi",1941
2907787,"David Berton",1991
561787,"Olivia Maxwell",1971
787,"hah",1999
510789,"Ulrich Limmer",1955
952790,"Birgit Zamulo",1950
3247791,"Jonathan Bartz",1986
1445791,"Byron Livernois",1975
952791,"Pio Zamuner",1935
833792,"Bertram Strauß",1959
935792,"Margrit Winter",1917
714793,"Quinn K. Redeker",1936
51793,"Enrico Banducci",1922
782794,"Ilona Sekacz",1948
2720794,"Sashah Askari",1986
2108796,"Monica Mattos",1983
561797,"Peter Maxwell",1921
797,"Hal Ashby",1929
1649798,"Ruben Jaghinyan",1969
255798,"Ray Elton",1914
68798,"Ekkehardt Belle",1954
357800,"Dan Hamilton",1945
